Sample	Endogenous_fraction	NO_MERGED_READS	DUP_rate	MEDIAN_SIZE	Log_Mean	Lambda	Lambda_R_squared	Lambda_p_value	X5P_DMG_POS1	X5P_DMG_R_squared	X5P_DMG_p_value	Sample_ID	Batch_no	Herbarium	Barcode	Genus	Species	Collection_date	Collection_day	Collection_month	Collection_year	Country	Province	District	Town_Village	Latitude_DD	Longitude_DD	Accuracy	Altitude_m	Tissue_weight_mg	DNA_concentration_QUANTUS_ng_ul	gDNA_DIN	Peak_size	LIB_concentration_tapestation_ng_ul	LIB_concentration_QUANTUS_ng_ul	3P_DMG_POS1	5P_other_freq	3P_other_freq
3308655_AB_64880_S24	64.82	13048033	0.24	55	4.01611913143974	0.0330189699097465	0.991856255758725	7.32054262807062e-142	0.0191202058510061	0.697656504127349	1.95515612799428e-06	HS0005	#006	RBGK	K001451890	Hordeum	spontaneum	02/05/1966	2	5	1966	Turkey	Mardin	Savur	Savur	37.56	40.68	Town level		7.6	37	NA	190	16.6	45	0.0202474923483314	0.007099826183781	0.00712048745506995
3308656_AB_64881_S25	65.89	10776473	0.27	54	4.00907361104679	0.0262215481307814	0.997476067914383	2.3609490249296e-186	0.0109132698776395	0.702063260624292	1.43394865704678e-06	HS0006	#006	RBGK	K001451889	Hordeum	spontaneum	02/05/1966	2	5	1966	Turkey	Şanlıurfa	Ceylanpınar	Viransehir	37.04	39.92	Town level		6.2	6.8	NA	187	15.2	27	0.011417887142655	0.00346680149927742	0.00359441573147888
3308657_AB_64866_S26	91.84	13450659	0.27	56	4.03764739123014	0.0245701843837799	0.987551995578045	3.80009460096731e-137	0.012578202364038	0.686788150679833	2.32030723034918e-06	HS0008	#006	RBGK	K001451887	Hordeum	spontaneum	11/05/1988	11	5	1988	Turkey	Adiyaman	Kahta	Kahta	37.87	38.68	Town level		7.1	10	NA	191	25.9	45	0.0135546791480642	0.00336434541204011	0.00370731443393073
3308658_AB_64882_S27	92.46	15118274	0.29	59	4.07677404675864	0.0215637524447895	0.983184135694004	3.30755556900505e-117	0.0110448291220314	0.645102272768094	7.15798057161605e-06	HS0009	#006	RBGK	K001451886	Hordeum	spontaneum	11/05/1988	11	5	1988	Turkey	Diyarbakir	Diyarbakir	Kahta	37.9	40.03	Town level		3.3	1.63	NA	186	8.55	15	0.011869906280861	0.00322863216728613	0.00358053360374787
3308659_AB_64903_S28	95.87	18002068	0.24	48	3.90764515195346	0.0444890702626036	0.998375930803624	6.00206795659661e-200	0.0152317625104567	0.77414023193696	1.57375543646817e-07	HS0010	#006	RBGK	K001451901	Hordeum	spontaneum	06/04/1955	6	4	1955	Cyprus	Northern Cyprus	Kyrenia	Kyrenia	35.34	33.32	Town level		6.7	27	NA	181	16.9	29	0.016485452017448	0.00256920735775566	0.002724946944028
3308660_AB_64904_S29	91.68	13908442	0.26	58	4.05243104782416	0.0204368105552334	0.989925388591496	1.13869901048514e-143	0.00694727915442768	0.659021357211875	5.7198742983396e-06	HS0036	#006	RBGK	K001451941	Hordeum	spontaneum	14/05/1994	14	5	1994	Israel	Northern District	GolanHeights	GIvatYoav	32.8	35.67	Town level		7.1	13	NA	188	16.6	35	0.00753214231836529	0.00419272003197442	0.00441629549602476
3308661_AB_64889_S30	95.35	15483502	0.28	56	4.0314335831059	0.0255364682186484	0.99519349034467	3.32052008172688e-157	0.00873194979681807	0.659070475676157	5.1169666667397e-06	HS0037	#006	RBGK	K001451940	Hordeum	spontaneum	11/05/1994	11	5	1994	Israel	SouthernDistrict	NegevDesert	Her Ramon	30.5	34.6	Town level		8	19	NA	186	25.2	48	0.00907539792641715	0.00354880498708157	0.00380087535896942
3308662_AB_64894_S31	95.24	24803138	0.22	42	3.76096707646721	0.0712104437025243	0.996713347346995	1.13910234872837e-185	0.0142508654136561	0.83740125556512	1.68697677229957e-08	HV0001	#010	RBGK	K001451021	Hordeum	vulgare	07/09/1927	7	9	1927	UK	England	EastLondon	Dagenham	51.54	0.14	Town level		6.6	11	NA	182	22.9	25	0.014798899591637	0.00171195733087661	0.00176465890235776
3308663_AB_64912_S32	91.24	18022896	0.24	43	3.78245891298976	0.0724181614916643	0.996491792944821	4.08313441241864e-181	0.00749451970531269	0.69092403180091	2.25754198104282e-06	HV0002	#010	RBGK	K001451022	Hordeum	vulgare	08/07/1923	8	7	1923	UK	England	Essex	Colchester	51.9	0.9	Town level		8.3	2.73	NA	182	12.6	16	0.00783046526007184	0.00216037868884349	0.00233722504812984
3308664_AB_64867_S33	96.49	26300460	0.26	50	3.92711333948938	0.0540461700070527	0.989995564274656	7.12250269516684e-136	0.0104878078738198	0.86469041961101	1.91340449200342e-09	HV0003	#010	RBGK	K001451023	Hordeum	vulgare	10/10/1931	10	10	1931	UK	England	Hertfordshire	Hitchin	51.95	-0.28	Town level		9.3	11	NA	189	18.2	29	0.0114684538888667	0.0015157579394073	0.00163622944677541
3308665_AB_64868_S34	96.15	35133712	0.27	47	3.86586092972072	0.0604075538590531	0.996075379903854	2.48185272042416e-170	0.00846472468921174	0.785863051622419	9.18972306803147e-08	HV0004	#010	RBGK	K001451024	Hordeum	vulgare	20/10/1935	20	10	1935	UK	England	Uxbridge	Hillingdon	51.53	-0.45	Town level		4.4	4.96	1.2	185	22.5	29	0.00849251340650133	0.00149986712927665	0.00157681446308862
3308666_AB_64905_S35	91.35	28774103	0.24	44	3.82318678065611	0.0605511283887904	0.998093509370291	1.8904275806587e-200	0.0171793496824876	0.828134045456346	2.28802225278495e-08	HV0007	#010	RBGK	K001451006	Hordeum	vulgare	20/08/1925	20	8	1925	UK	IsleWight	Newport	Newport	50.7	-1.29	Town level		5.6	5.3	NA	181	26.2	27	0.0171532788870218	0.00194041190999925	0.0019589496358499
3308667_AB_64895_S36	95.42	21658317	0.23	44	3.80736474795714	0.0619897426549767	0.996972801670891	2.5926859153627e-188	0.0128368763416424	0.858575460525454	4.79341309469624e-09	HV0008	#010	RBGK	K001451007	Hordeum	vulgare	01/06/1934	1	6	1934	UK	IsleWight	Cowes	Floating Bridge	50.76	-1.29	Town level		3.4	2.93	NA	184	19.2	22	0.0131137307683382	0.00157886871426088	0.0015443670322688
3308668_AB_64890_S37	90.56	20345612	0.28	60	4.08425077730427	0.0206446389083327	0.989633976862212	7.68815849283145e-135	0.00716971054091255	0.699106128213421	1.90513178260164e-06	HV0009	#010	RBGK	K001451016	Hordeum	vulgare	12/07/1936	12	7	1936	UK	England	WestKent	High Brooms	51.15	0.28	Town level		6.3	9.5	NA	192	19	23	0.00748413056667592	0.00156100799961371	0.0017273910132691
3308669_AB_64913_S38	94.5	27658986	0.28	49	3.92292922209405	0.0463208021531235	0.995227318851894	2.20036228549018e-164	0.0159250423343526	0.780123491589229	1.71580553053337e-07	HV0010	#010	RBGK	K001451012	Hordeum	vulgare	05/07/1936	5	7	1936	UK	London	Bromley	Green Street Green	51.35	0.09	Town level		3.4	2.42	NA	188	20.6	29	0.0166536081387122	0.00176546699759205	0.00190822441033084
3308670_AB_64899_S39	97.74	8408710	0.22	39	3.67934852407301	0.0829897120887825	0.999358257015384	2.31949215591523e-241	0.00694724859380083	0.772382518329003	1.83792496047364e-07	HV0021	#010	RBGK	K001451041	Hordeum	vulgare	29/05/1927	29	5	1927	UK	Wales	Cardiff	Cardiff	51.48	-3.18	Town level		5.8	8	NA	177	1.38	3.45	0.00717005121127546	0.00132420326145778	0.00138843561883418
3308671_AB_64884_S40	88.24	15089010	0.21	38	3.65147548659902	0.100753687567073	0.998258969255663	1.2940972178698e-211	0.00589326599364933	0.839464092836608	8.22820332922971e-09	HV0022	#010	RBGK	K001451040	Hordeum	vulgare	23/09/1926	23	9	1926	UK	Wales	Cardiff	Cardiff	51.48	-3.18	Town level		7.1	3.36	NA	177	1.53	2.29	0.00639422872952424	0.00162143707096167	0.00166210934952468
3308672_AB_64869_S41	91.3	20724256	0.27	45	3.83731990177054	0.0594470642781894	0.990610186998005	6.6834029510812e-150	0.00725231046444479	0.659922637586656	5.26197554036893e-06	HV0005	#011	RBGK	K001451028	Hordeum	vulgare	13/08/1944	13	8	1944	UK	England	Oxfordshire	Kidlington	51.82	-1.29	Town level		7.2	4.12	NA	183	16.5	18	0.00802428635239905	0.00203963863093292	0.00225110963525361
3308673_AB_64885_S42	1.09	195682	0.27	28	3.46476117005891	0.0588682334416749	0.966824354492413	4.14872799287039e-132	0.0178785918876467	0.624512550626233	1.19153196699254e-05	HV0006	#011	RBGK	K001451005	Hordeum	vulgare	01/08/1943	1	8	1943	UK	Cornwall	Devon	South Molton	51.02	-3.83	Town level		5.3	1.15	NA	180	6.71	8.7	0.0187167622073348	0.0141850375030559	0.0140027089340313
3308674_AB_64876_S43	3.96	1079096	0.24	40	3.71015518649973	0.0703053932063778	0.997425515442445	2.4675041221166e-188	0.0110839439013317	0.0622116909293371	0.146166764185499	HV0029	#011	RBGK	K001451049	Hordeum	vulgare	16/07/1956	16	7	1956	Luxembourg	Luxembourg	Lorentzweiler	Bofferdange	49.68	6.13	Town level		4.8	7.9	NA	184	17.4	20	0.0120021616458671	0.017479464100058	0.0178194258617438
3308675_AB_64896_S44	97.54	21198952	0.27	50	3.93654751686659	0.0393366259910675	0.98675841653756	5.29041231122193e-139	0.00677212844317589	0.633946650764936	9.88878593278885e-06	HV0035	#011	RBGK	K001453038	Hordeum	vulgare	13/06/1937	13	6	1937	Cyprus	SouthCyprus	Limassol	Krios river	34.68	33.04	District level		5	5.8	NA	187	11.1	12	0.00720826965067134	0.00211792837476848	0.00233383605817475
3308676_AB_64897_S45	97.82	22561950	0.24	43	3.78001246136213	0.0735176855341843	0.989908345288295	1.29260226685506e-149	0.0132232284989991	0.811567821642375	4.63903474615775e-08	HV0036	#011	RBGK	K001453037	Hordeum	vulgare	11/04/1937	11	4	1937	Cyprus	NA	NA	NA	35	33	Country level		2.9	2.39	NA	183	13.3	17	0.0134695084529255	0.00177681877356106	0.00188443544923448
3308677_AB_64898_S46	97.23	20282371	0.24	47	3.86552109158736	0.054078125745897	0.984714246311512	1.88477671667213e-134	0.00861261016675018	0.728161326167962	7.06424846148697e-07	HV0044	#011	RBGK	K001453042	Hordeum	vulgare	12/04/1932	12	4	1932	Iraq	Baghdad	NA	NA	33.3	44.39	Province level		7.3	0.128	NA	184	1.74	2.96	0.00943234486891869	0.00214277344785931	0.00227791958261208
3308678_AB_64883_S47	97.73	23354078	0.24	46	3.8416359822375	0.0566708959187379	0.98355926480297	6.27766738299234e-134	0.0106853197943255	0.766768485581973	1.9949679540797e-07	HV0045	#011	RBGK	K001453041	Hordeum	vulgare	28/04/1947	28	4	1947	Iraq	Sulaymaniyah	Sulaymaniyah	Bakrajo	35.55	45.36	Town level		3.4	3.66	NA	183	18.2	16	0.011378579087333	0.00170109955252657	0.00182082249836395
3308679_AB_64870_S48	97.14	20004927	0.23	43	3.77934397025916	0.0703725793843588	0.99395415449488	4.41769931740391e-166	0.0143090024541811	0.820121927888017	3.09041517590499e-08	HV0046	#011	RBGK	K001453040	Hordeum	vulgare	24/03/1947	24	3	1947	Iraq	Al Anbar	Hit	Hit	33.65	42.83	Town level		6.5	5.8	NA	184	17.5	25	0.0149743354809483	0.00179240212288526	0.00192448478833968
3308680_AB_64909_S49	96.29	20616718	0.24	43	3.78355444354683	0.0637895843075367	0.99318563301191	2.09676475806258e-164	0.0110774547995736	0.794935482829107	6.9039117443099e-08	HV0047	#011	RBGK	K001453048	Hordeum	vulgare	16/03/1947	16	3	1947	Iraq	Qwasit	AL Kut	Kut al-Imara	32.51	45.82	Town level		6.2	3.98	NA	184	14.6	20	0.0116752098307069	0.00205078050138524	0.0021606067944286
3308681_AB_64871_S50	95.88	21684689	0.24	45	3.8360678486994	0.0546965151720311	0.993008693346058	2.0648890369819e-161	0.0124092837741137	0.777393725475126	1.42023615862389e-07	HV0050	#011	RBGK	K001453044	Hordeum	vulgare	29/03/1947	29	3	1947	Iraq	AL Anbar	Rawa	NA	34.47	41.92	District level		5.7	8.6	NA	183	8.37	15	0.0125492650493671	0.00176902918382832	0.00188660811425612
3359002_AB_65280_S1	15.74	1557151	0.33	46	3.87368284791466	0.0508133427401751	0.993101733745903	1.63216446722529e-157	0.00926568998341327	0.0675717309056645	0.136698203650195	HS0025	#005	RBGK	K001434527	Hordeum	spontaneum	21/06/2017	21	6	2017	Armenia	Tavush	Road	Road	41.18	44.89	GPS		7.4	8.6	NA	190	16.1	16	0.00944203878556274	0.0315458690442288	0.0298638305237837
3359003_AB_65167_S2	93.93	7335746	0.37	56	4.03626270004952	0.0237887869185321	0.992949323577271	1.12442891040276e-154	0.0060504435446481	0.569735336337347	4.48680207485203e-05	HS0026	#005	RBGK	K001434526	Hordeum	spontaneum	23/06/2017	23	6	2017	Armenia	Yerevan	Yerevan	NorNorq/Erebuni	40.15	44.54	GPS		1.9	43	NA	191	10.1	13	0.00629787649023576	0.00261910743796969	0.00299340296255963
3359004_AB_65301_S3	28.66	3554807	0.34	50	3.94426642507115	0.035960489665322	0.995925326242031	1.38834490718901e-171	0.00573797784839705	0.837574220296634	6.66579483313918e-09	HS0027	#005	RBGK	K001434525	Hordeum	spontaneum	23/06/2017	23	6	2017	Armenia	Yerevan	Yerevan	Hrazdan	40.18	44.5	GPS		11.1	12	NA	191	14.3	9.3	0.00600750200815051	0.00349917689851347	0.00394461467697421
3359005_AB_65168_S4	94.01	7612904	0.34	55	4.02580616147131	0.0260037143107848	0.995947138242473	9.48392228056679e-172	0.0062276704631669	0.600855586198043	2.47822778540088e-05	HS0028	#005	RBGK	K001434268	Hordeum	vulgare	13/08/2015	13	8	2015	Armenia	Yerevan	Yerevan	Tokhmakh Cementary	40.15	44.53	GPS		5.7	34	NA	194	26.9	31	0.00662106430196947	0.00443702679428365	0.0047339564576441
